qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
CDX80037	AT2G46680	84.802	783	95	15	1	765	1	777	0	765
CDX80085	AT2G47190	84.196	367	49	3	179	545	281	638	5.04e-95	348
CDX79960	AT2G41050	88.86	1149	107	6	4	1149	1	1131	0	1393
CDX79937	AT2G41420	82.883	222	26	6	127	348	88	297	1.82e-47	189
CDX79828	AT2G43360	88.721	1126	117	6	1	1118	1	1124	0	1367
CDX80009	AT2G46340	89.231	2340	228	9	647	2973	762	3090	0	2904
CDX79841	AT2G42890	88.251	749	70	7	453	1188	468	1211	0	880
CDX80076	AT2G47050	88.055	653	74	4	1	651	1	651	0	771
CDX80029	AT2G46560	87.747	3542	393	21	2830	6349	2944	6466	0	4098
CDX79771	AT2G44230	88.33	994	105	6	1	984	1	993	0	1182
CDX79834	AT2G43190	84.483	812	100	16	148	949	91	886	0	778
CDX80004	AT2G46270	86.154	1170	97	36	193	1325	1	1142	0	1203
CDX79836	AT2G42980	83.051	1593	237	18	1	1569	1	1584	0	1415
CDX79946	AT3G59380	89.055	201	22	0	1	201	127	327	4.81e-66	250
CDX79826	AT5G09950	89.105	1285	136	4	1144	2426	1702	2984	0	1594
CDX80036	AT2G46660	87.289	1597	189	11	1	1587	1	1593	0	1812
CDX80074	AT2G47020	90.314	1146	111	0	79	1224	97	1242	0	1502
CDX79814	AT2G43570	83.069	189	32	0	10	198	4	192	4.22e-42	172
CDX80146	AT2G48070	89.805	461	43	4	157	615	136	594	2.8e-167	588
CDX79959	AT2G41070	81.338	852	93	28	1	849	1	789	1.78e-180	632
CDX80058	AT2G46915	85.044	2153	237	44	1	2094	1	2127	0	2113
CDX80103	AT2G47430	78.924	1822	325	43	906	2699	897	2687	0	1182
CDX80059	AT2G46920	87.22	2590	271	24	1	2551	1	2569	0	2894
CDX79994	AT2G46200	84.271	1138	145	20	22	1155	31	1138	0	1079
CDX80061	AT2G46950	82.075	424	72	1	13	432	1287	1710	1.7e-98	359
CDX79910	AT2G41820	91.311	1266	107	1	1	1266	1411	2673	0	1725
CDX80117	AT2G47560	82.536	481	64	9	1	477	1	465	3.41e-112	405
CDX79759	AT2G44430	86.5	200	24	1	645	841	807	1006	2.17e-55	217
CDX79768	AT2G44220	83.117	231	33	5	1	227	31	259	5.46e-52	206
CDX79964	AT2G40900	88.729	1109	107	7	1	1105	1	1095	0	1339
CDX79760	AT2G44420	84.778	1038	138	12	1	1022	1	1034	0	1024
CDX80106	AT2G47470	88.49	1086	123	2	1	1085	1	1085	0	1312
CDX80147	AT2G48080	79.17	1325	181	45	49	1333	43	1312	0	830
CDX80096	AT2G47330	86.747	2075	255	9	117	2187	225	2283	0	2290
CDX79847	AT2G42750	91.412	687	53	1	1	687	355	1035	0	937
CDX79892	AT2G42110	85.714	371	35	8	49	416	49	404	1.61e-103	375
CDX79825	AT2G43410	83.893	1639	201	21	622	2233	271	1873	0	1506
CDX79854	AT2G42810	88.118	1456	171	2	1	1455	1	1455	0	1729
CDX79976	AT2G40620	84.981	1052	86	30	65	1071	80	1104	0	1002
CDX79831	AT2G43445	79.703	202	41	0	867	1068	864	1065	4.15e-34	147
CDX80098	AT2G47360	86.552	870	102	9	16	879	13	873	0	944
CDX79785	AT2G44065	87.152	646	81	2	1	645	1	645	0	732
CDX79975	AT2G40660	84.054	1179	149	15	1	1149	1	1170	0	1099
CDX80087	AT2G47210	88.281	768	79	5	1	767	1	758	0	909
CDX79898	AT2G41960	85.095	1476	190	11	344	1789	407	1882	0	1480
CDX80069	AT2G46980	83.836	2388	338	24	1	2349	1	2379	0	2228
CDX80120	AT2G47600	89.877	1620	156	6	1	1613	1	1619	0	2076
CDX79911	AT2G41820	88.614	1212	136	2	1	1211	1	1211	0	1472
CDX79885	AT2G42260	81.136	493	57	14	204	672	300	780	2.02e-99	363
CDX80073	AT2G47010	87.621	1236	135	10	211	1428	247	1482	0	1419
CDX79902	AT2G41930	77.477	888	178	20	70	946	34	910	2.89e-144	512
CDX79907	AT2G41850	87.185	1311	154	11	1	1307	1	1301	0	1478
CDX80113	AT2G40940	87.249	1843	233	2	1	1842	1	1842	0	2100
CDX80123	AT5G53240	78.082	292	53	10	550	834	643	930	1.5e-42	174
CDX80129	AT2G47730	85.557	637	92	0	13	649	154	790	0	667
CDX80127	AT2G47700	82.253	941	108	18	76	993	53	957	0	758
CDX80011	AT2G46370	86.528	1737	224	6	1	1736	1	1728	0	1903
CDX79990	AT2G46140	91.218	501	44	0	1	501	1	501	0	682
CDX79796	AT2G43890	90.809	1175	106	2	12	1185	6	1179	0	1570
CDX80116	AT2G47550	86.178	1693	220	8	1	1689	1	1683	0	1818
CDX79894	AT2G42070	84.051	859	107	8	1	847	1	841	0	800
CDX79858	AT2G42840	92.293	532	39	2	703	1233	391	921	0	754
CDX79926	AT2G41640	83.941	1482	188	24	1	1439	1	1475	0	1373
CDX79884	AT2G42280	91.558	308	26	0	677	984	773	1080	3.77e-118	425
CDX79980	AT2G40550	88.969	417	46	0	40	456	1114	1530	1.33e-145	516
CDX79775	AT2G44200	88.372	559	62	1	1	559	1	556	0	669
CDX79840	AT2G42910	89.7	1000	100	1	33	1032	18	1014	0	1273
CDX79820	AT4G37470	86.774	809	100	5	1	807	1	804	0	894
CDX79895	AT2G42040	82.182	825	91	31	1	785	1	809	0	658
CDX79850	AT1G59950	83.262	938	157	0	37	974	22	959	0	863
CDX79830	AT2G43330	88.187	1456	160	11	1	1450	1	1450	0	1725
CDX79867	AT2G42450	83.445	1643	253	13	1	1629	1	1638	0	1509
CDX79978	AT2G40600	86.702	564	75	0	10	573	211	774	5.51e-179	627
CDX79839	AT2G42920	83.478	1616	256	8	6	1618	6	1613	0	1495
CDX79998	AT2G46225	85.317	899	90	12	24	910	24	892	0	891
CDX80000	AT2G46240	74.077	1327	249	49	10	1263	1453	2757	2.11e-127	457
CDX80130	AT1G60090	87.05	139	17	1	105	243	480	617	1.42e-37	156
CDX80033	AT2G46630	78.719	531	71	21	193	696	142	657	2.84e-85	316
CDX80095	AT2G47270	90.572	297	28	0	1	297	1	297	3.16e-109	394
CDX79936	AT2G41450	86.688	616	80	2	997	1611	1225	1839	0	682
CDX79930	AT2G41530	90.471	850	70	8	1	840	1	849	0	1110
CDX79977	AT2G40610	88.645	775	74	9	1	774	1	762	0	931
CDX79916	AT2G41750	79.073	712	129	11	16	708	61	771	3.46e-132	472
CDX79890	AT2G42180	81.445	512	64	15	1	492	1	501	6.7e-108	390
CDX79766	AT2G44230	90.104	192	19	0	1	192	1438	1629	4.27e-66	250
CDX80055	AT2G46890	87.193	976	117	6	1	975	1	969	0	1103
CDX80099	AT2G47370	81.882	999	154	14	1	978	1	993	0	817
CDX80001	AT2G46250	77.911	919	142	34	1	884	1	893	2.21e-145	516
CDX79853	AT2G42800	82.126	1063	173	11	1	1050	1	1059	0	894
CDX79845	AT2G42700	88.06	2521	269	14	1	2493	1	2517	0	2959
CDX79957	AT2G41130	88.189	762	81	1	1	753	1	762	0	900
CDX80100	AT2G47390	90.82	2756	235	12	94	2837	136	2885	0	3672
CDX80097	AT2G47350	80.408	1470	202	29	1	1400	1	1454	0	1040
CDX80003	AT2G46260	85.827	1143	123	15	1	1131	1	1116	0	1177
CDX80015	AT2G46400	80.952	903	123	31	1	871	1	886	0	669
CDX79935	AT2G41475	86.895	496	59	2	14	509	20	509	3.17e-156	551
CDX80024	AT2G46520	83.425	2908	464	9	1	2893	1	2905	0	2684
CDX79995	AT2G46210	85.449	701	96	4	1	699	1	697	0	725
CDX79807	AT2G43710	87.086	1208	148	4	1	1204	1	1204	0	1360
CDX80142	AT2G47920	80	190	32	4	81	270	54	237	5.16e-31	135
CDX79889	AT2G42190	83.333	438	46	14	1	423	1	426	1.24e-104	379
CDX80152	AT2G48120	85.464	399	37	7	1	384	550	942	1.11e-109	396
CDX79900	AT2G41950	81.898	801	115	16	7	783	7	801	0	649
CDX80026	AT2G46535	85.437	515	57	12	6	508	18	526	8.51e-147	520
CDX79944	AT2G41290	84.581	1135	164	7	1	1128	1	1131	0	1116
CDX80054	AT2G46880	84.736	1081	161	3	69	1147	93	1171	0	1079
CDX80016	AT2G46410	88.123	261	28	2	1	261	28	285	3.53e-83	307
CDX79817	AT2G43510	90.083	242	24	0	17	258	17	258	2.16e-85	315
CDX79855	AT2G42820	90.776	477	44	0	1	477	1	477	0	638
CDX79799	AT2G43800	85.599	1368	179	17	994	2358	1312	2664	0	1419
CDX79989	AT2G40430	83.417	597	88	7	1	596	1	587	1.19e-153	544
CDX79919	AT2G41730	77.119	354	72	2	1	354	1	345	1.22e-49	196
CDX80135	AT2G47780	85.008	627	92	2	46	671	76	701	0	636
CDX80002	AT2G46250	94.915	59	3	0	45	103	1059	1117	5.36e-19	93.5
CDX79893	AT2G42080	82.754	806	95	20	1	778	1	790	0	678
CDX80128	AT2G47710	87.785	483	59	0	1	483	1	483	1.03e-160	566
CDX79923	AT2G41680	91.016	1447	114	7	173	1605	146	1590	0	1938
CDX80136	AT2G47810	86.392	485	49	11	50	519	1	483	4.03e-145	514
CDX80154	AT2G48120	88.452	840	73	10	91	912	109	942	0	992
CDX80020	AT2G46480	80.962	1518	271	16	358	1869	82	1587	0	1186
CDX79931	AT2G41520	87.249	1945	183	26	1165	3060	1399	3327	0	2158
CDX80108	AT2G47485	85.446	426	62	0	1	426	1	426	4.36e-124	444
CDX79822	AT2G43465	84.27	1157	155	14	13	1145	13	1166	0	1103
CDX80137	AT2G47850	80.443	1355	137	55	108	1371	90	1407	0	917
CDX80051	AT2G46830	89.151	424	46	0	1	424	1	424	4.76e-149	529
CDX80086	AT2G47200	90.11	91	7	2	115	204	172	261	5.09e-26	117
CDX80034	AT2G46640	79.931	872	124	32	24	880	6	841	8.81e-169	593
CDX79927	AT2G41630	85.122	941	136	4	1	939	1	939	0	959
CDX79790	AT2G43980	87.758	1454	168	5	19	1464	1	1452	0	1690
CDY50003	AT4G26080	85.172	1133	142	12	114	1233	186	1305	0	1138
CDY49999	AT4G26000	85.924	1293	164	7	153	1433	192	1478	0	1363
CDY50002	AT4G26080	89.032	465	51	0	52	516	841	1305	5.04e-164	577
CDY50008	AT4G26230	92.877	351	25	0	11	361	8	358	3.58e-144	510
CDY50000	AT4G26055	86.772	189	25	0	1	189	1	189	1.98e-54	211
CDY50011	AT4G26420	94.737	38	2	0	975	1012	1092	1129	4.54e-08	60.2
CDY50005	AT4G26110	86.766	937	99	13	46	965	55	983	0	1020
CDY66725	AT5G26742	85.815	2263	272	26	1	2231	1	2246	0	2355
CDY53750	AT3G02890	85.298	687	101	0	1993	2679	1882	2568	0	710
CDY53743	AT3G02750	86.71	933	88	9	508	1407	550	1479	0	1003
CDY53740	AT3G02740	80.831	746	110	13	483	1207	717	1450	5.73e-157	555
CDY53745	AT3G02770	89.4	500	53	0	1	500	1	500	3.7e-180	630
CDY53737	AT3G02700	85.294	748	109	1	1	747	1	748	0	771
CDY53741	AT3G02750	86.602	933	89	9	505	1404	550	1479	0	998
CDY53751	AT5G16650	83.516	364	59	1	49	412	16	378	2.37e-92	339
CDY53748	AT3G02820	92.537	67	5	0	1	67	563	629	1.86e-20	97.1
CDY53736	AT3G02690	86.902	1275	122	29	1	1251	1	1254	0	1387
CDY53739	AT3G02730	86.996	546	62	5	1	546	1	537	6.82e-173	606
CDY53738	AT3G02710	90.078	514	51	0	1137	1650	1077	1590	0	667
CDY70279	AT1G27000	87.707	846	91	9	1	838	1	841	0	974
CDY42474	AT5G54660	87.047	579	75	0	1	579	1	579	0	654
CDY42447	AT5G54440	91.229	3785	317	4	1	3776	1	3779	0	5136
CDY42461	AT5G54570	89.397	1509	148	6	1	1497	1	1509	0	1890
CDY42460	AT5G54540	80.741	540	91	11	345	882	366	894	3.39e-113	409
CDY42454	AT5G54480	81.348	1276	205	19	825	2073	885	2154	0	1007
CDY42463	AT5G54600	88.648	599	65	1	1	599	1	596	0	726
CDY42481	AT5G54790	81.801	522	67	13	1	520	1	496	1.52e-114	412
CDY42477	AT5G54730	79.182	831	131	17	42	854	42	848	1.06e-151	538
CDY42464	AT5G54590	86.949	1203	154	3	1	1203	1	1200	0	1349
CDY42470	AT5G54650	85.03	1670	171	38	952	2580	1072	2703	0	1626
CDY42446	AT5G54390	84.4	1141	143	15	1	1125	1	1122	0	1088
CDY42466	AT5G54580	85.957	470	54	3	1	458	1	470	1.67e-138	492
CDY42450	AT5G53230	76.014	863	183	17	59	915	71	915	4.14e-118	425
CDY42469	AT5G54640	88.804	393	44	0	1	393	1	393	8.47e-136	483
CDY42459	AT5G54530	81.497	481	83	5	1	478	1	478	7.22e-108	390
CDY42476	AT5G54690	91.429	875	75	0	672	1546	732	1606	0	1201
CDY42479	AT5G54770	86.399	772	88	10	1	768	1	759	0	828
CDY42475	AT5G54680	90.436	711	53	7	1	702	1	705	0	922
CDY69402	AT1G68570	90.806	881	81	0	1	881	1	881	0	1179
CDY59162	AT3G53950	88.401	1595	179	4	29	1617	38	1632	0	1916
CDY59159	AT3G53930	91.515	165	12	1	21	183	426	590	6.82e-59	226
CDY59157	AT3G53890	88.755	249	28	0	1	249	1	249	1.2e-82	305
CDY59158	AT3G53900	87.229	877	92	10	1	864	1	870	0	981
CDY21568	AT4G36250	82.482	274	44	3	9	278	686	959	5.35e-62	237
CDY21547	AT3G52350	79.609	358	62	5	7	363	196	543	1.12e-64	246
CDY21555	AT5G08630	86.611	1434	173	8	1	1432	1	1417	0	1567
CDY21578	AT5G09380	84.096	830	116	9	1	825	1	819	0	787
CDY21576	AT5G09360	86.118	1736	210	15	1	1731	1	1710	0	1842
CDY21637	AT5G10130	82.201	427	74	2	115	540	1	426	1.25e-100	366
CDY21565	AT5G08770	80.373	912	135	26	1	890	1	890	0	652
CDY21544	AT5G08510	86.812	1509	191	6	1	1508	1	1502	0	1677
CDY21530	AT5G08290	91.841	429	35	0	1	429	1	429	8.85e-171	599
CDY21628	AT5G10070	87.079	743	78	8	59	783	50	792	0	824
CDY21625	AT5G10030	88.225	1104	112	10	1	1095	1	1095	0	1303
CDY21529	AT5G08280	88.317	1147	134	0	1	1147	1	1147	0	1376
CDY21597	AT5G09750	83.582	670	59	15	1	631	1	658	5.13e-165	580
CDY21572	AT5G09270	91.159	328	26	1	1	328	1	325	1.33e-123	442
CDY21534	AT5G08310	85.108	2498	341	13	1	2472	1	2493	0	2523
CDY21587	AT5G09550	92.601	1338	99	0	1	1338	1	1338	0	1923
CDY21536	AT5G08330	82.133	722	102	6	8	711	8	720	6.99e-169	593
CDY21638	AT5G10140	92.973	185	13	0	1	185	1	185	1.3e-71	270
CDY21537	AT5G08420	85.353	751	98	12	1	745	1	745	0	767
CDY21514	AT5G08150	84.368	435	50	10	1	417	1	435	4.32e-114	411
CDY21556	AT5G08640	86.449	1011	137	0	1	1011	1	1011	0	1109
CDY21571	AT5G09260	89.545	660	60	2	1	660	1	651	0	828
CDY21612	AT5G09880	84.53	1629	189	38	1	1611	1	1584	0	1554
CDY21605	AT5G09790	86.456	1078	129	9	94	1158	67	1140	0	1166
CDY21570	AT5G09250	89.506	324	34	0	1	324	1	324	3.31e-114	411
CDY21579	AT5G09390	85.526	760	104	3	1	754	1	760	0	789
CDY21592	AT5G09640	86.656	1259	141	9	63	1321	87	1318	0	1369
CDY21517	AT5G08170	89.354	883	94	0	1	883	1	883	0	1110
CDY21566	AT5G08780	78.319	678	98	26	478	1135	535	1183	4.82e-108	392
CDY21584	AT5G09460	84.388	237	27	8	909	1143	729	957	1.77e-57	224
CDY21582	AT5G09430	87.753	939	112	2	1	939	1	936	0	1094
CDY21512	AT5G08130	84.249	1638	183	30	1	1620	1	1581	0	1526
CDY21623	AT5G10010	86.732	1025	133	1	281	1305	284	1305	0	1136
CDY21561	AT5G08720	87.569	2172	247	16	1	2165	1	2156	0	2494
CDY21557	AT5G08660	87.731	1842	208	7	96	1931	120	1949	0	2134
CDY21601	AT5G09760	81.006	1153	179	23	1	1115	79	1229	0	880
CDY21527	AT5G08260	86.174	1461	181	17	1	1458	1	1443	0	1559
CDY21515	AT5G08160	89.751	1044	95	1	1	1032	1	1044	0	1325
CDY21550	AT5G08560	86.937	1776	187	20	1	1737	1	1770	0	1953
CDY21640	AT5G10130	81.499	427	77	2	1	426	1	426	9.84e-96	350
CDY21621	AT5G09995	89.493	552	56	2	194	744	224	774	0	697
CDY21594	AT5G09660	90.065	1077	95	6	1	1077	1	1065	0	1386
CDY21510	AT5G08110	81.611	3116	459	67	325	3377	355	3419	0	2475
CDY21593	AT5G09650	88.079	906	90	6	1	891	1	903	0	1059
CDY21618	AT5G09970	87.98	1614	185	5	1	1608	1	1611	0	1897
CDY21552	AT5G08580	88.774	873	98	0	268	1140	304	1176	0	1070
CDY21616	AT5G09940	75.909	220	42	8	1	210	1	219	3.9e-21	102
CDY21508	AT5G08100	87.144	949	120	2	1	948	1	948	0	1075
CDY21614	AT5G09920	92.381	420	29	3	1	420	1	417	1.12e-169	595
CDY21563	AT5G08740	86.067	1579	200	13	1	1578	1	1560	0	1679
CDY21624	AT5G10020	84.468	3142	442	19	24	3142	12	3130	0	3057
CDY21533	AT5G08305	86.517	89	6	3	41	129	1233	1315	4.81e-19	93.5
CDY21590	AT5G09620	76.246	1465	192	68	1	1363	1	1411	0	634
CDY21564	AT5G08750	82.828	1089	154	21	1	1071	1	1074	0	944
CDY21545	AT5G08520	86.747	581	38	8	281	843	338	897	8.28e-174	610
CDY21583	AT5G09440	85.336	566	74	7	120	682	93	652	8.9e-164	577
CDY21575	AT5G09330	84.503	755	107	8	1	750	1	750	0	737
CDY21610	AT5G09850	84.605	734	74	8	262	968	340	1061	0	693
CDY21603	AT5G09790	90.107	374	35	2	9	381	768	1140	2.29e-136	484
CDY21642	AT5G10140	88.275	597	61	3	1	594	1	591	0	706
CDY21581	AT5G09420	88.17	1809	209	4	1	1805	1	1808	0	2150
CDY21609	AT5G09840	79.967	609	104	11	117	716	153	752	5.99e-120	433
CDY21573	AT5G09280	88.664	741	84	0	172	912	1	741	0	904
CDY21591	AT5G09640	82.769	1300	179	25	1	1291	1	1264	0	1118
CDY21629	AT5G10080	81.968	1514	231	30	6	1486	6	1510	0	1245
CDY21615	AT5G09930	87.518	2043	228	17	1	2022	1	2037	0	2335
CDY21509	AT5G08100	85.774	949	133	2	1	948	1	948	0	1003
CDY21511	AT5G08120	85.537	968	117	13	27	993	36	981	0	990
CDY21546	AT5G08530	95.299	234	11	0	118	351	1228	1461	1.7e-102	372
CDY21608	AT5G09830	90.813	283	21	3	1	279	1	282	3.69e-103	374
CDY21520	AT5G08190	90.094	424	42	0	1	424	1	424	2.96e-156	551
CDY21633	AT5G10080	83.376	1161	160	22	75	1209	357	1510	0	1044
CDY21548	AT5G08540	87.545	835	93	7	203	1033	200	1027	0	955
CDY40800	AT5G23260	84.739	747	87	8	1	720	49	795	0	723
CDY40817	AT5G60890	81.884	828	107	25	1	820	1	793	0	658
CDY40809	AT5G23030	84.444	315	49	0	508	822	481	795	9.16e-84	311
CDY40811	AT5G08130	83.721	86	11	1	262	347	259	341	1.71e-13	78.7
CDY40804	AT5G23200	82.564	195	30	3	112	303	29	222	2.07e-41	169
CDY40798	AT5G23340	86.892	1213	157	2	1	1212	1	1212	0	1358
CDY40791	AT5G23540	91.37	927	80	0	1	927	1	927	0	1269
CDY40810	AT5G23020	84.59	610	92	2	85	693	97	705	3.2e-172	604
CDY40792	AT5G23480	77.524	832	147	28	36	847	30	841	1.23e-129	464
CDY40789	AT5G23580	86.766	937	118	5	612	1544	534	1468	0	1038
CDY40793	AT5G23450	87.299	2299	238	24	1	2257	1	2287	0	2579
CDY40802	AT5G23210	86.631	1511	165	11	28	1536	25	1500	0	1637
CDY40807	AT5G23150	84.23	3031	366	42	1073	4047	1205	4179	0	2846
CDY47813	AT5G43310	84.213	2122	265	35	807	2872	1002	3109	0	1999
CDY47812	AT5G43270	85.364	1305	140	19	253	1551	1	1260	0	1304
CDY56643	AT5G62600	89.92	1875	186	1	1	1872	1003	2877	0	2412
CDY56644	AT5G62600	93.052	734	50	1	201	934	121	853	0	1072
CDY56640	AT5G62570	86.945	1532	170	18	1	1510	1	1524	0	1694
CDY56641	AT5G62580	82.087	1792	246	38	5	1732	8	1788	0	1461
CDX76498	AT4G19100	88.593	526	54	4	95	614	119	644	0	634
CDX76479	AT4G19500	83.557	2013	312	14	1	2006	331	2331	0	1866
CDX76401	AT4G20930	88.636	1056	108	5	1	1056	1	1044	0	1275
CDX76298	AT4G34700	93.22	354	24	0	1	354	1	354	1.61e-147	521
CDX76586	AT4G16830	83.944	710	70	18	336	1029	387	1068	0	640
CDX76402	AT4G20940	88.262	3118	346	8	1	3102	1	3114	0	3712
CDX76454	AT4G20450	88.577	998	114	0	34	1031	1699	2696	0	1212
CDX76276	AT4G34380	83.378	1480	205	16	1	1452	1	1467	0	1332
CDX76516	AT4G18540	84.706	1360	193	11	1	1347	1	1358	0	1345
CDX76441	AT4G21690	88.352	1056	114	4	1	1053	1	1050	0	1260
CDX76511	AT4G18596	88.439	519	57	1	1	516	1	519	6.38e-178	623
CDX76285	AT4G34490	87.483	1438	136	15	1	1401	202	1632	0	1618
CDX76580	AT4G17070	85.82	677	78	10	1	662	1	674	0	702
CDX76517	AT4G18540	91.852	135	11	0	1	135	1429	1563	6.3e-48	189
CDX76297	AT4G34680	87.763	809	68	14	1	786	1	801	0	917
CDX76341	AT4G23060	83.82	445	57	6	385	826	430	862	4.9e-113	409
CDX76368	AT5G44340	100	28	0	0	87	114	347	374	7.01e-07	52.8
CDX76482	AT4G19410	90.051	1176	117	0	1	1176	1	1176	0	1524
CDX76415	AT4G21090	88.755	249	28	0	390	638	345	593	3.28e-82	305
CDX76377	AT4G12590	87.314	741	94	0	1	741	1	741	0	848
CDX76364	AT4G22620	87.86	486	50	6	1	480	1	483	1.31e-159	562
CDX76365	AT4G22560	84.286	700	91	10	86	777	107	795	0	665
CDX76403	AT4G20960	83.397	1301	173	20	1	1278	1	1281	0	1166
CDX76522	AT4G18430	90.214	654	64	0	1	654	1	654	0	854
CDX76278	AT4G34410	80.82	756	100	21	76	798	64	807	4.81e-156	551
CDX76351	AT4G22860	85.975	1426	149	18	1	1390	1	1411	0	1478
CDX76551	AT4G17900	90.205	684	58	1	1	675	1	684	0	883
CDX76295	AT4G34660	91.351	1110	87	6	1	1104	1	1107	0	1509
CDX76307	AT4G34960	86.567	670	86	4	1	668	1	668	0	736
CDX76394	AT4G21870	81.429	420	51	11	1	408	1	405	2.63e-86	318
CDX76486	AT4G19200	81.129	567	56	23	1	543	1	540	7.38e-113	407
CDX76469	AT4G19645	89.539	803	84	0	1	803	1	803	0	1018
CDX76431	AT4G21570	90.96	885	80	0	1	885	1	885	0	1192
CDX76279	AT4G34419	87.632	380	47	0	1	380	1	380	1.4e-123	442
CDX76476	AT4G19590	80.769	182	34	1	127	308	187	367	4.55e-33	141
CDX76265	AT4G34160	86.884	1136	98	24	1	1094	1	1127	0	1225
CDX76451	AT4G20780	82.364	533	74	5	20	533	20	551	1.6e-124	446
CDX76379	AT4G22330	86.885	244	30	2	14	256	458	700	1.53e-72	272
CDX76571	AT4G17486	89.614	674	64	5	1	674	1	668	0	852
CDX76329	AT4G24120	90.533	2028	186	3	1	2028	1	2022	0	2676
CDX76283	AT4G34450	92.86	2661	190	0	1	2661	1	2661	0	3862
CDX76406	AT3G26010	90	60	5	1	29	87	1120	1179	5.67e-14	76.8
CDX76489	AT4G19170	87.333	900	110	4	514	1411	586	1483	0	1027
CDX76418	AT4G21110	91.055	436	39	0	1	436	1	436	5.45e-168	590
CDX76443	AT4G21710	89.567	3144	296	17	56	3186	41	3165	0	3960
CDX76514	AT4G18570	81.535	1955	251	53	1	1873	1	1927	0	1509
CDX76574	AT4G17380	91.383	2379	205	0	1	2379	1	2379	0	3258
CDX76383	AT4G22220	89.831	472	48	0	1	472	1	472	6.15e-173	606
CDX76282	AT4G34440	89.881	1097	108	1	838	1931	829	1925	0	1408
CDX76504	AT4G18950	89.439	1354	141	2	28	1380	28	1380	0	1707
CDX76397	AT4G04860	83.56	736	119	2	1	735	1	735	0	688
CDX76309	AT4G35060	91.183	465	38	2	1	465	1	462	1.23e-179	628
CDX76305	AT4G34940	87.189	1085	130	5	1	1079	1	1082	0	1225
CDX76455	AT5G44500	80.62	516	89	7	1	509	1	512	3.77e-107	388
CDX76589	AT1G30475	100	28	0	0	793	820	398	371	6.45e-06	52.8
CDX76577	AT4G17090	85.778	450	50	10	310	758	745	1181	6.25e-130	464
CDX76323	AT4G24050	89.69	999	103	0	1	999	1	999	0	1275
CDX76505	AT4G18940	85.911	582	74	4	11	585	11	591	4.38e-175	614
CDX76490	AT4G19160	80.096	1040	176	22	201	1238	198	1208	0	745
CDX76590	AT4G16790	79.853	273	37	11	7	270	1159	1422	6.44e-46	183
CDX76334	AT4G23550	86.695	932	118	2	1	926	1	932	0	1029
CDX76570	AT4G17490	84.56	557	62	14	304	839	292	845	6.63e-150	531
CDX76565	AT4G17550	87.567	748	87	2	750	1494	891	1635	0	861
CDX76275	AT4G34350	89.299	1327	142	0	58	1384	73	1399	0	1664
CDX76277	AT4G34390	83.446	2072	330	12	433	2502	526	2586	0	1914
CDX76343	AT4G22980	83.333	1092	144	26	1	1084	1	1062	0	974
CDX76273	AT4G34320	89.134	681	74	0	487	1167	445	1125	0	848
CDX76588	AT4G16800	90.015	661	65	1	1432	2091	1	661	0	854
CDX76326	AT4G24090	85.897	936	116	12	1	934	1	922	0	983
CDX76419	AT4G21120	85.706	1770	249	4	16	1783	16	1783	0	1864
CDX76434	AT1G11270	78.454	427	85	6	357	778	507	931	5.4e-72	272
CDX76409	AT4G21000	95	60	3	0	225	284	294	353	9.67e-19	95.3
CDX76547	AT4G18040	85.654	711	93	2	1	705	1	708	0	739
CDX76466	AT4G19830	89.336	497	51	2	138	633	195	690	7.9e-178	623
CDX76578	AT4G17085	90.286	175	16	1	1	175	1	174	1.86e-59	228
CDX76322	AT4G35240	83.963	1085	156	9	1055	2121	1442	2526	0	1024
CDX76422	AT4G21192	91.414	198	17	0	76	273	46	243	1.35e-72	272
CDX76378	AT4G22360	89.617	626	53	5	400	1019	523	1142	0	785
CDX76535	AT4G18210	87.963	108	13	0	4	111	1057	1164	1.39e-29	128
CDX76567	AT4G17520	81.778	911	108	20	1	864	1	900	0	710
CDX76584	AT4G16850	82.71	214	21	8	423	624	696	487	2.62e-43	176
CDX76575	AT4G17380	92.564	390	29	0	1	390	1	390	4.08e-159	560
CDX76384	AT4G22140	90.37	675	65	0	1	675	1	675	0	887
CDX76488	AT4G19185	88.917	1200	127	5	1	1197	1	1197	0	1474
CDX76392	AT4G21903	83.217	1293	209	4	87	1375	81	1369	0	1179
CDX76345	AT1G75220	93.407	91	6	0	75	165	258	348	1.34e-31	135
CDX76407	AT4G21020	78.431	816	121	29	1	778	1	799	6.25e-135	481
CDX76284	AT4G34460	86.968	775	84	5	274	1035	364	1134	0	856
CDX76354	AT4G22740	86.094	489	56	4	421	897	583	1071	1.98e-145	516
CDX76542	AT4G18160	89.595	519	53	1	151	669	794	1311	0	658
CDX76477	AT4G19540	89.057	923	92	7	1	917	1	920	0	1136
CDX76400	AT4G21710	90.257	2874	268	9	1	2865	295	3165	0	3746
CDX76356	AT1G20960	83.14	1210	170	19	1	1191	148	1342	0	1074
CDX76375	AT1G53360	100	28	0	0	539	566	812	839	4.31e-06	52.8
CDX76424	AT4G21215	83.01	618	87	9	1	618	1	600	6.17e-154	544
CDX76532	AT4G18280	85.751	386	52	1	62	447	1	383	2.16e-112	405
CDX76533	AT4G18253	80.474	717	116	11	18	728	18	716	7.63e-149	527
