Bnapus_genes	top2_bitscore_diff
CDY58956	168
CDY58955	673.2
CDY58954	262
CDY58950	506
CDY62209	519
CDY62211	871
CDY62207	78
CDY67219	72
CDY47346	332
CDY47340	10
CDY47347	376
CDY64461	91
CDX75400	50
CDX75399	1093
CDX75697	636.2
CDX75668	745
CDX75686	414
CDX75650	689
CDX75619	112
CDX75237	498.3
CDX75322	1850
CDX75644	282
CDX75453	207
CDX75443	113
CDX75320	388
CDX75188	598
CDX75341	5166.2
CDX75593	708.2
CDX75450	299
CDX75612	220
CDX75375	438
CDX75401	885
CDX75479	1155
CDX75266	517
CDX75576	321
CDX75343	52
CDX75215	1116
CDX75520	2
CDX75460	176
CDX75500	88
CDX75634	1648
CDX75561	626
CDX75347	295
CDX75190	148
CDX75556	1172
CDX75351	977
CDX75661	136
CDX75574	423
CDX75689	363
CDX75189	253
CDX75292	981
CDX75651	419
CDX75631	441.2
CDX75451	466
CDX75393	618
CDX75643	17
CDX75417	70
CDX75458	706
CDX75421	176
CDX75527	2275
CDX75287	185
CDX75472	137
CDX75620	72
CDX75493	346
CDX75560	42
CDX75691	1481
CDX75437	792
CDX75210	50
CDX75440	530
CDX75533	251
CDX75290	339
CDX75212	534
CDX75370	188
CDX75507	437
CDX75487	1233
CDX75538	48
CDX75504	391
CDX75555	5
CDX75550	4268
CDX75664	164
CDX75223	226
CDX75249	1145
CDX75486	157
CDX75391	1010
CDX75409	1279
CDX75611	945
CDX75675	693
CDX75558	297
CDX75688	120
CDX75498	4435
CDX75679	587
CDX75681	1566
CDX75205	1252
CDX75250	702
CDX75302	565
CDX75532	2190
CDX75316	759
CDX75251	61
CDX75518	44
CDX75568	235
CDX75444	877
CDX75672	429
CDX75541	155
CDX75242	1727
CDX75344	964
CDX75208	336
CDX75663	200
CDX75478	323
CDX75413	913
CDX75497	363
CDX75220	14.8
CDX75432	390
CDX75338	2597
CDX75325	94
CDX75222	434
CDX75670	58
CDY57780	1500.6
CDY71662	351
CDY71322	449
CDY67517	53
CDY71137	332
CDY64801	539
CDX86488	373
CDX86539	454
CDX86651	709
CDX86660	382
CDX86634	2205
CDX86562	49
CDX86655	432
CDX86526	66
CDX86602	873
CDX86642	918
CDX86511	407
CDX86692	1218
CDX86496	245
CDX86638	329
CDX86567	846
CDX86583	1454
CDX86608	140
CDX86625	59
CDX86645	99
CDX86665	209
CDX86581	164
CDX86566	380
CDX86576	284
CDX86550	299
CDX86699	28
CDX86605	558
CDX86652	445
CDX86626	865
CDX86661	30
CDX86524	63
CDX86540	3
CDX86536	35
CDX86547	441
CDX86580	1254
CDX86663	445
CDX86630	916
CDX86682	74
CDX86595	1354
CDX86477	24
CDX86480	22
CDX86555	279
CDX86522	444
CDX86491	318
CDX86650	331
CDX86615	1072
CDX86537	538
CDX86691	1038
CDX86611	336
CDY02920	6
CDY02958	6
CDY02951	763
CDY02903	297
CDY02959	268
CDY02947	1806
CDY02916	912
CDY02897	27
CDY02952	393.3
CDY02957	775
CDY02911	233
CDY02906	200
CDY02943	273
CDY67944	204
CDY63891	408
CDY63898	329
CDY63895	739
CDY57592	83
CDY25690	4
CDY25718	707
CDY25694	33
CDY25723	116
CDY25686	1065
CDY25685	369
CDY25683	150
CDY25701	521
CDY25691	61
CDY25682	0
CDY25703	16
CDX83922	399
CDX83929	750
CDX83763	194
CDX83774	949
CDX83837	295
CDX83970	947
CDX83915	284
CDX83768	274
CDX84019	131
CDX83805	663
CDX83993	4
CDX83803	742
CDX83880	358
CDX83840	72
CDX84000	6
CDX83973	127
CDX83777	1049
CDX83931	431
CDX83831	827
CDX83816	1119
CDX83753	226
CDX83825	744
CDX83902	742
CDX83765	261
CDX83758	650
CDX83957	476
CDX83876	421
CDX83917	3056
CDX83974	512
CDX83836	493
CDX84045	124
CDX83936	57
CDX83797	266
CDX83846	876
CDX83982	470.3
CDX83901	273
CDX83916	240
CDX83944	514
CDX83732	370
CDX83845	440
CDX83991	2367
CDX83940	1745
CDX83804	1245
CDX83999	539
CDX83829	257
CDX83988	792
CDX83884	1230
CDX83891	52
CDX84044	133
CDX83796	276
CDX83963	19
CDX84018	513
CDX83952	1402
CDY28580	2853
CDY28566	523
CDY28574	150
CDY28582	141
CDY28544	1901
CDY08262	111
CDY08271	254
CDY08216	203
CDY08242	476.4
CDY08220	216
CDY08222	141
CDY08239	0
CDY08290	1054
CDY08201	83
CDY08211	9
CDY08298	405
CDY08306	11
CDY08310	770
CDY08276	50
CDY08245	448
CDY08255	124
CDY08206	1045
CDY08213	48
CDY08221	772
CDY08278	190
CDY08208	183
CDY08246	246
CDY54321	441
CDY41357	91
CDY41307	358
CDY41361	1102
CDY41359	382
CDY41301	132
CDY41304	70
CDY41364	72
CDY41314	242
CDY41329	36
CDY41330	748
CDY41316	673
CDY41305	609
CDY41313	99
CDY41328	143
CDY41353	15
CDY41299	277
CDY41333	196
CDY50676	100
CDY50684	269
CDY71142	1685.3
CDY45835	633
CDY45849	456
CDY45832	401
CDY70483	5
CDY50766	87
CDY50760	152
CDY50765	478
CDY50750	798.8
CDY50748	17
CDY70969	113
CDY16639	2113
CDY16687	312
CDY16691	30
CDY16657	83
CDY16649	22
CDY16635	356
CDY16712	68
CDY16664	820
CDY16662	31
CDY16620	631
CDY16669	803
CDY16652	457
CDY16665	1278
CDY16704	87
CDY16663	116
CDY16676	248
CDY16671	1505
CDY16624	632
CDY16697	256
CDY16659	399
CDY16693	51
CDX93120	1147
CDX92957	500
CDX93126	513
CDX93040	71
CDX93093	2433.7
CDX93057	306
CDX92976	190
CDX93133	247
CDX93014	362
CDX92973	227
CDX93027	31
CDX92932	96
CDX93066	602
CDX93077	50
CDX93039	172
CDX92956	19
CDX92983	44
CDX92981	534
CDX93092	2008
CDX92934	17
CDX92987	28
CDX93005	21
CDX93138	463
CDX93108	398
CDX92991	292
CDX93103	61
CDX92958	491
CDX92994	346
CDX93129	17
CDX93006	906.4
CDX93048	338
CDX93157	6
CDX93088	2238
CDX93160	294
CDX93081	0
CDX92964	508
CDX92972	136
CDX93144	3
CDX92995	44
CDY65681	468.2
CDY61350	3
CDY69058	336
CDY68484	626
CDY34234	2598
CDY34235	6
CDY34215	173
CDY34241	112
CDY34249	6.5
CDY34257	124
CDY34252	382
CDY57071	593
CDY57076	415
CDY57075	293
CDY59775	875
CDY70266	708
CDY59655	254
CDY67857	304
CDY72477	553
CDY69535	95
CDY53517	325
CDY70097	499
CDY59834	2
CDY59838	70
CDX71338	929
CDX71336	333
CDX71262	660
CDX71165	371
CDX71331	0
CDX71278	676
CDX71277	281
CDX71272	2699
CDX71219	71
CDX71333	0
CDX71303	294
CDX71239	288
CDX71233	137
CDX71349	61
CDX71221	122
CDX71291	402
CDX71178	395
CDX71332	44
CDX71317	637
CDX71220	71
CDX71265	170
CDY42362	52
CDY42350	1217
CDY42353	3339
CDY42364	471
CDY64269	240
CDY69290	530
CDY68045	97
CDY33356	227
CDY33332	1507
CDY33339	279
CDY33370	89
CDY33343	332
CDY33330	40
CDY33362	661
CDY33328	305
CDY33347	1864
CDY33342	518
CDY33331	166
CDY33387	2057
CDY33377	254
CDY33337	672
CDY33364	578
CDY33329	416
CDX99969	121
CDY00039	1665.6
CDY00129	678
CDY00154	1252
CDY00046	94
CDY00020	5
CDY00061	49
CDY00135	909
CDY00032	571
CDY00031	140
CDY00063	28
CDY00125	42
CDY00002	451
CDX99981	347
CDY00162	681
CDY00161	111
CDY00004	404
CDY00018	142
CDY00013	288
CDY00060	66
CDY00123	840
CDY00059	160
CDY00104	14.2
CDY00108	216
CDY00010	19
CDY00159	429
CDY00000	190
CDY00120	28
CDY00107	733
CDY00170	737
CDY00133	290
CDY00122	404
CDY00143	506
CDY00156	951
CDY00096	183
CDY00011	246
CDY00136	404
CDY00088	0
CDY00127	106
CDY00106	75
CDY00181	28
CDX99985	1095
CDY00008	138
CDY00064	57
CDY00165	224
CDY00149	110
CDY59607	122
CDY54747	330
CDX91530	301
CDX91514	54
CDX91609	639
CDX91654	44
CDX91548	142
CDX91529	659
CDX91586	348
CDX91583	1647
CDX91635	1216
CDX91589	107
CDX91526	613
CDX91547	331.7
CDX91556	0
CDX91555	0
CDX91582	1647
CDX91652	469
CDX91553	17
CDX91598	548
CDX91615	329
CDX91517	109
CDX91581	1647
CDY66353	2338
CDY67073	0
CDY10799	336
CDY10716	209
CDY10704	954.5
CDY10750	117
CDY10721	154
CDY10758	11
CDY10701	117.4
CDY10751	852
CDY10797	274
CDY10779	605
CDY10804	16
CDY10811	18
CDY10703	26
CDY10763	441
CDY10766	160
CDY10754	298
CDY10801	312
CDY10810	21
CDY10756	842
CDY10784	859
CDY10800	416
CDY68874	219.7
CDY40528	559
CDY40525	61
CDY40505	281
CDY51169	23
CDY48615	386
CDY48614	79
CDY60769	NA
CDY60770	NA
CDY60767	NA
CDY70581	NA
CDY67702	NA
CDY43488	NA
CDY43482	NA
CDY43486	NA
CDY43490	NA
CDY43489	NA
CDY43491	NA
CDY43483	NA
CDY43484	NA
CDY64713	NA
CDY70765	NA
CDY58704	NA
CDY68561	NA
CDY48459	NA
CDY48451	NA
CDY63947	NA
CDY39817	NA
CDY39803	NA
CDY39776	NA
CDY39788	NA
CDY39781	NA
CDY39768	NA
CDY39764	NA
CDY39814	NA
CDY39769	NA
CDY39761	NA
CDY39782	NA
CDY39791	NA
CDY39774	NA
CDY39790	NA
CDY39816	NA
CDY39787	NA
CDY39772	NA
CDY39773	NA
CDY39767	NA
CDY39795	NA
CDY39810	NA
CDY39777	NA
CDY39786	NA
CDY39815	NA
CDY39775	NA
CDY39808	NA
CDY39763	NA
CDY56688	NA
CDY56696	NA
CDY56690	NA
CDY40239	NA
CDY40214	NA
CDY40234	NA
CDY40244	NA
CDY40235	NA
CDY40197	NA
CDY40200	NA
CDY40198	NA
CDY40237	NA
CDY40220	NA
CDY40242	NA
CDY40243	NA
CDY40218	NA
CDY40246	NA
CDY40217	NA
CDY40206	NA
CDY40202	NA
CDY40208	NA
CDY40219	NA
CDY40213	NA
CDY40211	NA
CDY40210	NA
CDY40228	NA
CDY40225	NA
CDY40215	NA
CDY40205	NA
CDY40238	NA
CDY40221	NA
CDY40224	NA
CDY40216	NA
CDY40207	NA
CDY40223	NA
CDY40236	NA
CDX81049	NA
CDX80971	NA
CDX80760	NA
CDX80768	NA
CDX81134	NA
CDX80933	NA
CDX80771	NA
CDX80817	NA
CDX80868	NA
CDX81058	NA
CDX81099	NA
CDX81130	NA
CDX80828	NA
CDX81076	NA
CDX80757	NA
CDX80989	NA
CDX81171	NA
CDX80894	NA
CDX81127	NA
CDX81095	NA
CDX81010	NA
CDX81000	NA
CDX80919	NA
CDX81016	NA
CDX81036	NA
CDX80822	NA
CDX80956	NA
CDX80807	NA
CDX80880	NA
CDX80770	NA
CDX81031	NA
CDX80981	NA
CDX81148	NA
CDX80782	NA
CDX80761	NA
CDX80975	NA
CDX80866	NA
CDX80897	NA
CDX80750	NA
CDX81103	NA
CDX80763	NA
CDX80869	NA
CDX80796	NA
CDX81154	NA
CDX80888	NA
CDX80804	NA
CDX81021	NA
CDX80829	NA
CDX80780	NA
CDX80922	NA
CDX80756	NA
CDX80855	NA
CDX80890	NA
CDX81026	NA
CDX81175	NA
CDX80753	NA
CDX81124	NA
CDX81126	NA
CDX80953	NA
CDX81041	NA
CDX80754	NA
CDX81002	NA
CDX80948	NA
CDX81110	NA
CDX81093	NA
CDX81102	NA
CDX80983	NA
CDX80886	NA
CDX81005	NA
CDX81160	NA
CDX81152	NA
CDX81131	NA
CDX80858	NA
CDX80803	NA
CDX81111	NA
CDX80902	NA
CDX80841	NA
CDX80777	NA
CDX80769	NA
CDX81068	NA
CDX80928	NA
CDX81098	NA
CDX80979	NA
CDX81123	NA
CDX80877	NA
CDX81109	NA
CDX81172	NA
CDX80797	NA
CDX81136	NA
CDX80812	NA
CDX80762	NA
CDX80848	NA
CDX80813	NA
CDX81125	NA
CDX80962	NA
CDX80939	NA
CDX80852	NA
CDX81091	NA
CDX81089	NA
CDX81166	NA
CDX81011	NA
CDX80823	NA
CDX80941	NA
CDX81079	NA
CDX80815	NA
CDX80930	NA
CDX80907	NA
CDX80903	NA
CDX80806	NA
CDX80954	NA
CDX81138	NA
CDX80936	NA
CDX81176	NA
CDX80911	NA
CDX81107	NA
CDX81155	NA
CDX80988	NA
CDX80898	NA
CDX80779	NA
CDX80861	NA
CDX81174	NA
CDX81071	NA
CDX80949	NA
CDX81164	NA
CDX80959	NA
CDX80870	NA
CDX81077	NA
CDX80910	NA
CDX80950	NA
CDX80887	NA
CDX81085	NA
CDX80899	NA
CDX80799	NA
CDX80875	NA
CDX81139	NA
CDX80990	NA
CDX80849	NA
CDX80857	NA
CDX80995	NA
CDX80808	NA
CDX81142	NA
CDX80786	NA
CDX80915	NA
CDX80774	NA
CDX81081	NA
CDX81097	NA
CDX81181	NA
CDX81113	NA
CDX81051	NA
CDX80791	NA
CDX80821	NA
CDX81177	NA
CDX81007	NA
CDX80882	NA
CDX81104	NA
CDX80826	NA
CDX80895	NA
CDX81072	NA
CDX80816	NA
CDX81024	NA
CDX81161	NA
CDX81144	NA
CDX80874	NA
CDX80931	NA
CDX80929	NA
CDX80792	NA
CDX81090	NA
CDX81094	NA
CDX80844	NA
CDX81122	NA
CDX80917	NA
CDX80863	NA
CDX80814	NA
CDX80960	NA
CDX80972	NA
CDX80798	NA
CDX80969	NA
CDX80775	NA
CDX80966	NA
CDX81078	NA
CDX80776	NA
CDX80793	NA
CDX80755	NA
CDX80927	NA
CDX81100	NA
CDX81083	NA
CDX80772	NA
CDX80957	NA
CDX80884	NA
CDX80850	NA
CDX81106	NA
CDX81137	NA
CDX80843	NA
CDX80955	NA
CDX80968	NA
CDX80932	NA
CDX81153	NA
CDX81173	NA
CDX80751	NA
CDX81141	NA
CDX81115	NA
CDX80996	NA
CDX81008	NA
CDX80934	NA
CDX80891	NA
CDX80854	NA
CDX81149	NA
CDX80867	NA
CDX80790	NA
CDX80800	NA
CDY54571	NA
CDY54566	NA
CDY54561	NA
CDY54570	NA
CDY54562	NA
CDY54560	NA
CDY70186	NA
CDY70185	NA
CDY59128	NA
CDY67936	NA
CDY60391	NA
CDY60389	NA
CDY60388	NA
CDY67581	NA
CDY67580	NA
CDY59706	NA
CDY59707	NA
CDY60328	NA
CDY68133	NA
CDY65029	NA
CDY65027	NA
CDY65028	NA
CDY72516	NA
CDY70805	NA
CDY63591	NA
CDY63590	NA
CDY45206	NA
CDY45183	NA
CDY45205	NA
CDY45170	NA
CDY45187	NA
CDY45165	NA
CDY45168	NA
CDY45164	NA
CDY45197	NA
CDY45178	NA
CDY45200	NA
CDY45177	NA
CDY45203	NA
CDY45167	NA
CDY45201	NA
CDY45179	NA
CDY45166	NA
CDY45169	NA
CDY45184	NA
CDY45181	NA
CDY45173	NA
CDY45188	NA
CDY45204	NA
CDY45176	NA
CDY45190	NA
CDY45180	NA
CDY45192	NA
CDY53730	NA
CDY53734	NA
CDY53727	NA
CDY69403	NA
CDY31415	NA
CDY31402	NA
CDY31399	NA
CDY31389	NA
CDY31416	NA
CDY31382	NA
CDY31394	NA
CDY31372	NA
CDY31377	NA
CDY31385	NA
CDY31408	NA
CDY31405	NA
CDY31390	NA
CDY31404	NA
CDY31400	NA
CDY31379	NA
CDY31406	NA
CDY31392	NA
CDY56631	NA
CDY65237	NA
CDY65233	NA
CDY65239	NA
CDY65234	NA
CDY65238	NA
CDY72462	NA
CDY62741	NA
CDY62739	NA
CDY62740	NA
CDY70192	NA
CDY72218	NA
CDY02396	NA
CDY02392	NA
CDY02401	NA
CDY02421	NA
CDY02425	NA
CDY02413	NA
CDY02410	NA
CDY02426	NA
CDY02424	NA
CDY02409	NA
CDY02422	NA
CDY02387	NA
CDY02393	NA
CDY02382	NA
CDY02420	NA
CDY02383	NA
CDY02411	NA
CDY02395	NA
CDY02391	NA
CDY02386	NA
CDY23095	NA
CDY23062	NA
CDY23004	NA
CDY23022	NA
CDY23096	NA
CDY23041	NA
CDY23025	NA
CDY23008	NA
CDY23034	NA
CDY23026	NA
CDY23098	NA
CDY23076	NA
CDY23079	NA
CDY23074	NA
CDY23001	NA
CDY23048	NA
CDY23065	NA
CDY23028	NA
CDY23021	NA
CDY23032	NA
CDY23072	NA
CDY23038	NA
CDY23066	NA
CDY23078	NA
CDY23083	NA
CDY23059	NA
CDY23070	NA
CDY23029	NA
CDY23006	NA
CDY23069	NA
CDY23058	NA
CDY23094	NA
CDY23009	NA
CDY23057	NA
CDY23061	NA
CDY23087	NA
CDY23068	NA
CDY23052	NA
CDY23054	NA
CDY23033	NA
CDY23063	NA
CDY23044	NA
CDY23012	NA
CDY23092	NA
CDY23053	NA
CDY23086	NA
CDY23049	NA
CDY23075	NA
CDY23051	NA
CDY23060	NA
CDY23067	NA
CDY46011	NA
CDY46024	NA
CDY46029	NA
CDY46026	NA
CDY46014	NA
CDY46017	NA
CDY46021	NA
CDY46009	NA
CDY46012	NA
CDY46015	NA
CDY65385	NA
CDY65383	NA
CDY65384	NA
CDY71530	NA
CDY66248	NA
CDY66246	NA
CDY66247	NA
CDY70164	NA
CDY67735	NA
CDY69933	NA
CDX76063	NA
CDX76141	NA
CDX76052	NA
CDX76110	NA
CDX75999	NA
CDX76170	NA
CDX76227	NA
CDX76155	NA
CDX76102	NA
CDX76215	NA
CDX76042	NA
CDX76058	NA
CDX76001	NA
CDX76158	NA
CDX76224	NA
CDX76175	NA
CDX76085	NA
CDX76189	NA
CDX76145	NA
CDX76123	NA
CDX76200	NA
CDX76099	NA
CDX76057	NA
CDX76068	NA
CDX76140	NA
CDX76250	NA
CDX76100	NA
CDX76006	NA
CDX76070	NA
CDX76112	NA
CDX76223	NA
CDX76187	NA
CDX76076	NA
CDX76252	NA
CDX76153	NA
CDX76139	NA
CDX76225	NA
CDX76240	NA
CDX76137	NA
CDX76130	NA
CDX76134	NA
CDX76216	NA
CDX76259	NA
CDX76154	NA
CDX76092	NA
CDX76146	NA
CDX76173	NA
CDX76247	NA
CDX76198	NA
CDX76094	NA
CDX76171	NA
CDX76193	NA
CDX76144	NA
CDX76167	NA
CDX76083	NA
CDX76218	NA
CDX76156	NA
CDX76120	NA
CDX76014	NA
CDX76046	NA
CDX76097	NA
CDX76199	NA
CDX76246	NA
CDX76043	NA
CDX76002	NA
CDX76260	NA
CDX76180	NA
CDX76232	NA
CDX75992	NA
CDX76192	NA
CDX76210	NA
CDX76019	NA
CDX76194	NA
CDX76147	NA
CDX76017	NA
CDX76029	NA
CDX76245	NA
CDX76214	NA
CDX76257	NA
CDX76018	NA
CDX76165	NA
CDX76143	NA
CDX76183	NA
CDX76023	NA
CDX76233	NA
CDX76151	NA
CDX76166	NA
CDX76003	NA
CDX76203	NA
CDX75987	NA
CDX76037	NA
CDX76121	NA
CDX76116	NA
CDX76205	NA
CDX76113	NA
CDX76124	NA
CDX76160	NA
CDX76013	NA
CDX76072	NA
CDX76249	NA
CDX76242	NA
CDX76222	NA
CDX76098	NA
CDX76095	NA
CDX76172	NA
CDX76080	NA
CDX76040	NA
CDX75993	NA
CDX76093	NA
CDX76177	NA
CDX76248	NA
CDX76186	NA
CDX76129	NA
CDX76152	NA
CDX76034	NA
CDX76226	NA
CDX76101	NA
CDX76176	NA
CDX76188	NA
CDX76114	NA
CDX76128	NA
CDX76054	NA
CDX76045	NA
CDX76118	NA
CDX76038	NA
CDX76105	NA
CDX76148	NA
CDY68740	NA
CDY65114	NA
CDY65117	NA
CDY70156	NA
CDY71230	NA
CDY71352	NA
CDY72400	NA
CDY28092	NA
CDY28081	NA
CDY28138	NA
CDY28102	NA
CDY28097	NA
CDY28122	NA
CDY28124	NA
CDY28090	NA
CDY28106	NA
CDY28135	NA
CDY28105	NA
CDY28117	NA
CDY28094	NA
CDY28119	NA
CDY28088	NA
CDY28121	NA
CDY28143	NA
CDY67079	NA
CDY68973	NA
CDY48933	NA
CDY48917	NA
CDY48936	NA
CDY48924	NA
CDY48915	NA
CDY48913	NA
CDY48926	NA
CDY48921	NA
CDY48929	NA
CDY48934	NA
CDY48918	NA
CDY48931	NA
CDY48938	NA
CDY48916	NA
CDY48919	NA
CDY48923	NA
CDY70377	NA
CDY16794	NA
CDY16765	NA
CDY16840	NA
CDY16721	NA
CDY16804	NA
CDY16825	NA
CDY16761	NA
CDY16760	NA
CDY16780	NA
CDY16759	NA
CDY16820	NA
CDY16818	NA
CDY16731	NA
CDY16751	NA
CDY16821	NA
CDY16754	NA
CDY16816	NA
CDY16750	NA
CDY16733	NA
CDY16857	NA
CDY16779	NA
CDY16742	NA
CDY16778	NA
CDY16716	NA
CDY16817	NA
CDY16782	NA
CDY16831	NA
CDY16770	NA
CDY16855	NA
CDY16828	NA
CDY16758	NA
CDY16791	NA
CDY16727	NA
CDY16767	NA
CDY16838	NA
CDY16741	NA
CDY16866	NA
CDY16850	NA
CDY16757	NA
CDY16834	NA
CDY16734	NA
CDY16799	NA
CDY16736	NA
CDY16805	NA
CDY16762	NA
CDY16856	NA
CDY16735	NA
CDY16789	NA
CDY16719	NA
CDY16870	NA
CDY16839	NA
CDY16747	NA
CDY16752	NA
CDY16768	NA
CDY16844	NA
CDY16726	NA
CDY16740	NA
CDY16858	NA
CDY16812	NA
CDY16865	NA
CDY16851	NA
CDY16824	NA
CDY16862	NA
CDY16874	NA
CDY16737	NA
CDY16848	NA
CDY16746	NA
CDY16730	NA
CDY16772	NA
CDY16814	NA
CDY16798	NA
CDY16788	NA
CDY16871	NA
CDY16786	NA
CDY16738	NA
CDY16802	NA
CDY16842	NA
CDY16785	NA
CDY16787	NA
CDY16873	NA
CDY16717	NA
CDY16766	NA
CDY16748	NA
CDY16847	NA
CDY16755	NA
CDY16869	NA
CDY16863	NA
CDY16845	NA
CDY16732	NA
CDY16749	NA
CDY16813	NA
CDY16723	NA
CDY16827	NA
CDY62706	NA
CDY52794	NA
CDY52791	NA
CDY52793	NA
CDY52790	NA
CDY52795	NA
CDY71982	NA
CDY67788	NA
CDY71013	NA
CDY59452	NA
CDY59993	NA
CDY59999	NA
CDY60000	NA
CDY64220	NA
CDY20350	NA
CDY20340	NA
CDY20347	NA
CDY20349	NA
CDY20341	NA
CDY67207	NA
CDY67209	NA
CDY62547	NA
CDY62544	NA
CDY52496	NA
CDY52504	NA
CDY52499	NA
CDY52497	NA
CDY52530	NA
CDY57160	NA
CDY30215	NA
CDY30220	NA
CDY30185	NA
CDY30198	NA
CDY30172	NA
CDY30224	NA
CDY30207	NA
CDY30189	NA
CDY30204	NA
CDY30237	NA
CDY30196	NA
CDY30209	NA
CDY30233	NA
CDY30182	NA
CDY30235	NA
CDY30231	NA
CDY30221	NA
CDY30208	NA
CDY30188	NA
CDY30199	NA
CDY30176	NA
CDY30234	NA
CDY30201	NA
CDY30212	NA
CDY30226	NA
CDY30236	NA
CDY30205	NA
CDY30213	NA
CDY30186	NA
CDY30206	NA
CDY30222	NA
CDY30203	NA
CDY51783	NA
CDY51781	NA
CDY67189	NA
CDY63448	NA
CDY63451	NA
CDY63450	NA
CDY63447	NA
CDY68257	NA
CDY69150	NA
CDY68963	NA
CDY71747	NA
CDY67410	NA
CDY71231	NA
CDY47485	NA
CDY47476	NA
CDY47481	NA
CDY47484	NA
CDY47489	NA
CDY47491	NA
CDY47490	NA
CDY47469	NA
CDY47497	NA
CDY47486	NA
CDY47468	NA
CDY47465	NA
CDY47461	NA
CDY47470	NA
CDY47474	NA
CDY47466	NA
CDX74128	NA
CDX73833	NA
CDX73971	NA
CDX74357	NA
CDX73803	NA
CDX73814	NA
CDX74012	NA
CDX74179	NA
CDX74003	NA
CDX74099	NA
CDX74116	NA
CDX73857	NA
CDX73864	NA
CDX74104	NA
CDX74185	NA
CDX74272	NA
CDX73991	NA
CDX74260	NA
CDX74303	NA
CDX73837	NA
CDX74365	NA
CDX74316	NA
CDX74153	NA
CDX73961	NA
CDX73870	NA
CDX74103	NA
CDX74077	NA
CDX74225	NA
CDX74038	NA
CDX74333	NA
CDX74152	NA
CDX73913	NA
CDX74209	NA
CDX73936	NA
CDX74067	NA
CDX74359	NA
CDX74340	NA
CDX74135	NA
CDX73853	NA
CDX73917	NA
CDX73810	NA
CDX74146	NA
CDX73854	NA
CDX74367	NA
CDX73934	NA
CDX74245	NA
CDX74292	NA
CDX74065	NA
CDX73967	NA
CDX74076	NA
CDX74287	NA
CDX74092	NA
CDX74393	NA
CDX73891	NA
CDX74130	NA
CDX74222	NA
CDX74091	NA
CDX74263	NA
CDX74329	NA
CDX74337	NA
CDX74062	NA
CDX74068	NA
CDX74385	NA
CDX73884	NA
CDX73960	NA
CDX73949	NA
CDX74230	NA
CDX74144	NA
CDX74069	NA
CDX74033	NA
CDX73886	NA
CDX74049	NA
CDX73825	NA
CDX74401	NA
CDX73850	NA
CDX74014	NA
CDX74031	NA
CDX74335	NA
CDX74341	NA
CDX74269	NA
CDX74326	NA
CDX73856	NA
CDX74281	NA
CDX73843	NA
CDX73935	NA
CDX73840	NA
CDX74008	NA
CDX74174	NA
CDX73994	NA
CDX74124	NA
CDX74354	NA
CDX74024	NA
CDX73846	NA
CDX74167	NA
CDX73993	NA
CDX74274	NA
CDX73929	NA
CDX73940	NA
CDX74362	NA
CDX74305	NA
CDX73844	NA
CDX73894	NA
CDX74360	NA
CDX74403	NA
CDX74380	NA
CDX73841	NA
CDX74349	NA
CDX74042	NA
CDX73834	NA
CDX74223	NA
CDX74191	NA
CDX73979	NA
CDX74017	NA
CDX73824	NA
CDX73817	NA
CDX73938	NA
CDX74313	NA
CDX74350	NA
CDX74189	NA
CDX74328	NA
CDX73916	NA
CDX74358	NA
CDX74242	NA
CDX74022	NA
CDX74283	NA
CDX74110	NA
CDX74063	NA
CDX74371	NA
CDX74086	NA
CDX73951	NA
CDX74204	NA
CDX74052	NA
CDX73933	NA
CDX73866	NA
CDX74323	NA
CDX73878	NA
CDX73827	NA
CDX74073	NA
CDX74310	NA
CDX73956	NA
CDX74112	NA
CDX74321	NA
CDX74194	NA
CDX73862	NA
CDX74348	NA
CDX74220	NA
CDX74324	NA
CDX74273	NA
CDX74395	NA
CDX73869	NA
CDX74151	NA
CDX73989	NA
CDX73831	NA
CDX73902	NA
CDX74196	NA
CDX74016	NA
CDX73859	NA
CDX74318	NA
CDX74271	NA
CDX73848	NA
CDX74136	NA
CDX74193	NA
CDX74143	NA
CDX74381	NA
CDX74240	NA
CDX74097	NA
CDX73851	NA
CDX73883	NA
CDX74219	NA
CDX74344	NA
CDX74314	NA
CDX74154	NA
CDX74374	NA
CDX74032	NA
CDX73947	NA
CDX74289	NA
CDX73881	NA
CDX74102	NA
CDX74047	NA
CDX74327	NA
CDX74311	NA
CDX74021	NA
CDX74342	NA
CDX73813	NA
CDX73943	NA
CDX74026	NA
CDX74372	NA
CDX74115	NA
CDX74118	NA
CDX73875	NA
CDX74111	NA
CDX73912	NA
CDX74007	NA
CDX74180	NA
CDX74312	NA
CDX73868	NA
CDX74270	NA
CDX73900	NA
CDX74285	NA
CDX73928	NA
CDX73822	NA
CDX74235	NA
CDX74186	NA
CDX74206	NA
CDX73812	NA
CDX74379	NA
CDX73806	NA
CDX74133	NA
CDX73890	NA
CDX74085	NA
CDX74280	NA
CDX73880	NA
CDX73985	NA
CDX74040	NA
CDX74284	NA
CDX73897	NA
CDX74051	NA
CDX73946	NA
CDX73944	NA
CDX74142	NA
CDX74239	NA
CDX74054	NA
CDX74330	NA
CDX74127	NA
CDX74387	NA
CDX74169	NA
CDX73821	NA
CDX74295	NA
CDX74184	NA
CDX74009	NA
CDX74105	NA
CDX73816	NA
CDX74389	NA
CDX73904	NA
CDX74249	NA
CDX73826	NA
CDX74336	NA
CDX74264	NA
CDX74058	NA
